player,season,team,position,gp,mpg,usage,structural_influence,influence_residual,usage_percentile,influence_percentile,role_classification,canonical_archetype,influence_cv
B. Clarke,2024-25,MEM,F,64.0,18.9,0.15,0.1423486166339161,0.12938261945509777,25.0,96.64502164502164,CONNECTOR / HUB,CONNECTOR / HUB,1.1289636515482502
K. Looney,2022-23,GSW,F,82.0,23.9,0.104,0.1340584992271262,0.12137581728166537,2.326839826839827,96.42857142857143,CONNECTOR / HUB,CONNECTOR / HUB,1.4170728902256025
T. Jones,2023-24,WAS,G,66.0,29.3,0.161,0.1174596951236596,0.09652848712925866,34.41558441558442,95.77922077922078,CONNECTOR / HUB,,1.739958818338151
J. Williams,2022-23,OKC,G-F,75.0,30.3,0.18,0.1136958515594601,0.10201162051892952,49.51298701298701,95.508658008658,CONNECTOR / HUB,,1.5734206245879176
J. Williams,2022-23,OKC,G-F,49.0,18.7,0.133,0.1136958515594601,0.10201162051892952,12.878787878787879,95.508658008658,CONNECTOR / HUB,CONNECTOR / HUB,1.5734206245879176
J. Allen,2024-25,CLE,C,82.0,28.0,0.156,0.1096850958085023,0.08796703474431983,29.49134199134199,95.23809523809523,CONNECTOR / HUB,,0.7600715920535114
J. Hayes,2024-25,LAL,C-F,56.0,19.5,0.12,0.10667139030881,0.09475296433964521,6.70995670995671,94.91341991341992,CONNECTOR / HUB,CONNECTOR / HUB,0.7441612281808572
K. Caldwell-Pope,2022-23,DEN,G,76.0,31.3,0.136,0.0982748122958974,0.07346042636091983,15.259740259740258,94.48051948051948,CONNECTOR / HUB,CONNECTOR / HUB,0.632849407942596
A. Bona,2024-25,PHI,F,58.0,15.6,0.135,0.0943321994609134,0.08287319624125979,14.285714285714285,94.37229437229438,CONNECTOR / HUB,CONNECTOR / HUB,0.30202385145183586
T. Jackson-Davis,2024-25,GSW,F,62.0,15.6,0.164,0.0912513001111031,0.07878388264738023,36.85064935064935,93.93939393939394,CONNECTOR / HUB,,0.3845429219200657
B. Carrington,2024-25,WAS,G,82.0,30.0,0.154,0.0891019082934972,0.06548865615567581,27.380952380952383,93.72294372294373,CONNECTOR / HUB,,0.8190988183718771
G. Bitadze,2024-25,ORL,C-F,70.0,20.4,0.142,0.0887695631638385,0.07578720312163087,19.047619047619047,93.61471861471861,CONNECTOR / HUB,CONNECTOR / HUB,1.3256741560808316
Z. Edey,2024-25,MEM,C,66.0,21.5,0.156,0.087982350051941,0.07480296231751735,29.49134199134199,93.3982683982684,CONNECTOR / HUB,,1.0264561420089018
L. Kornet,2023-24,BOS,C-F,63.0,15.6,0.107,0.0878452754763997,0.07656868189472558,2.976190476190476,93.29004329004329,CONNECTOR / HUB,CONNECTOR / HUB,0.8647428763630545
N. Claxton,2022-23,BKN,C,76.0,29.9,0.155,0.0845240026860323,0.06339255607121158,28.19264069264069,92.85714285714286,CONNECTOR / HUB,,0.13942541097079908
K. Caldwell-Pope,2023-24,DEN,G,76.0,31.6,0.126,0.0783233073139474,0.05611742523292318,9.469696969696969,92.31601731601732,CONNECTOR / HUB,CONNECTOR / HUB,0.632849407942596
N. Claxton,2024-25,BKN,C,70.0,26.9,0.166,0.0761356226573988,0.05666287470133918,38.74458874458874,92.09956709956711,CONNECTOR / HUB,,0.13942541097079908
D. Eubanks,2023-24,PHX,F-C,75.0,15.6,0.129,0.0723371474336652,0.06016699509261141,10.876623376623376,91.55844155844156,CONNECTOR / HUB,CONNECTOR / HUB,0.6146963737106388
N. Claxton,2023-24,BKN,C,71.0,29.8,0.156,0.0689299074424872,0.05036030413185193,29.49134199134199,90.9090909090909,CONNECTOR / HUB,,0.13942541097079908
D. Eubanks,2022-23,POR,F-C,78.0,20.3,0.122,0.0678085015995417,0.054443244392414124,7.35930735930736,90.80086580086581,CONNECTOR / HUB,CONNECTOR / HUB,0.6146963737106388
N. Richards,2023-24,CHA,C,67.0,26.2,0.131,0.0658941908592143,0.05252270328931956,11.796536796536797,90.5844155844156,CONNECTOR / HUB,CONNECTOR / HUB,1.3808639143817765
J. McDaniels,2022-23,MIN,F,79.0,30.6,0.156,0.0635052077778828,0.039577754280518726,29.49134199134199,90.04329004329004,CONNECTOR / HUB,,1.907000844502344
R. Holmes,2024-25,WAS,F,31.0,17.2,0.143,0.0610413169898428,0.04987119313443687,20.075757575757574,89.93506493506493,CONNECTOR / HUB,CONNECTOR / HUB,1.5249006445077793
K. George,2024-25,WAS,F,68.0,26.5,0.156,0.0592002928445739,0.040598436238334513,29.49134199134199,89.82683982683982,CONNECTOR / HUB,,1.0469084678413425
C. Braun,2024-25,DEN,G,79.0,33.9,0.155,0.0590010119265291,0.028662047778185023,28.19264069264069,89.71861471861472,CONNECTOR / HUB,,0.9022023669375915
W. Kessler,2022-23,UTA,C,74.0,23.0,0.13,0.0559800912101506,0.0430083583572998,11.363636363636363,89.17748917748918,CONNECTOR / HUB,CONNECTOR / HUB,1.1701973280387763
I. Zubac,2022-23,LAC,C,76.0,28.5,0.149,0.0509910229927556,0.03426181096369772,24.08008658008658,88.09523809523809,CONNECTOR / HUB,CONNECTOR / HUB,0.7415824428262356
C. Paul,2024-25,SAS,G,82.0,28.0,0.137,0.049450317323337,0.03205900496380451,15.909090909090908,87.87878787878788,CONNECTOR / HUB,CONNECTOR / HUB,0.6701853140857533
A. Thompson,2024-25,HOU,G-F,69.0,32.3,0.172,0.0493816837159525,0.02198908899421995,42.91125541125541,87.77056277056276,CONNECTOR / HUB,,0.7379273787203018
C. Capela,2024-25,ATL,C,55.0,21.4,0.16,0.0491439060143463,0.03632177584652996,33.22510822510822,87.66233766233766,CONNECTOR / HUB,,0.41326741239838877
I. Hartenstein,2023-24,NYK,C-F,75.0,25.3,0.116,0.0468282906051973,0.0335598935458647,5.51948051948052,87.12121212121212,CONNECTOR / HUB,CONNECTOR / HUB,0.9008540847865435
B. Clarke,2022-23,MEM,F,56.0,19.5,0.174,0.0466894381875269,0.033364064978433736,44.53463203463203,86.90476190476191,CONNECTOR / HUB,,1.1289636515482502
J. Sims,2022-23,NYK,C,52.0,15.6,0.074,0.0454689417246682,0.03430271152344045,0.21645021645021645,86.36363636363636,CONNECTOR / HUB,CONNECTOR / HUB,0.7181771911316345
M. Robinson,2022-23,NYK,C-F,59.0,26.9,0.101,0.0447261003765055,0.03350777228808283,1.7316017316017316,86.14718614718615,CONNECTOR / HUB,CONNECTOR / HUB,1.2234958449322924
T. Murphy III,2022-23,NOP,F,79.0,31.0,0.159,0.044115683991985,0.015204871562129029,32.25108225108225,85.60606060606061,CONNECTOR / HUB,,1.0948034051080484
P. Connaughton,2022-23,MIL,G,61.0,23.7,0.133,0.0412583193142039,0.027139346870865846,12.878787878787879,85.28138528138528,CONNECTOR / HUB,CONNECTOR / HUB,1.5018176897044249
C. Capela,2023-24,ATL,C,73.0,25.8,0.167,0.0398446073769163,0.0249085131854858,39.33982683982684,85.06493506493507,CONNECTOR / HUB,,0.41326741239838877
J. Carter,2022-23,MIL,G,81.0,22.4,0.149,0.0397100356850291,0.022717016614613752,24.08008658008658,84.95670995670996,CONNECTOR / HUB,CONNECTOR / HUB,1.096107874893588
T. Jackson-Davis,2023-24,GSW,F,68.0,16.6,0.157,0.0396574152451192,0.026755452452363573,30.681818181818183,84.84848484848484,CONNECTOR / HUB,,0.3845429219200657
A. Thompson,2023-24,HOU,G-F,62.0,22.4,0.173,0.0379385413288708,0.022979794954911585,43.61471861471862,84.19913419913419,CONNECTOR / HUB,,0.7379273787203018
Y. Missi,2024-25,NOP,C,73.0,26.8,0.141,0.0355840847997903,0.02143250265600334,18.344155844155843,82.79220779220779,CONNECTOR / HUB,CONNECTOR / HUB,0.4393997298063226
K. Martin,2022-23,HOU,F,82.0,28.0,0.16,0.0343783355115432,0.009781936737518721,33.22510822510822,82.25108225108225,CONNECTOR / HUB,,0.8061699511135376
I. Joe,2022-23,OKC,G,73.0,19.1,0.17,0.0336464325470807,0.017557415383825836,41.66666666666667,82.03463203463204,CONNECTOR / HUB,,0.6876804878191864
J. McLaughlin,2022-23,MIN,G,43.0,15.8,0.112,0.0331208773754656,0.02180995768831723,4.437229437229438,81.70995670995671,CONNECTOR / HUB,CONNECTOR / HUB,1.3588808017981104
M. Plumlee,2024-25,PHX,F-C,74.0,17.6,0.105,0.0331028775488239,0.021531599248226264,2.5432900432900434,81.6017316017316,CONNECTOR / HUB,CONNECTOR / HUB,0.7332162886563426
M. Conley,2022-23,MIN,G,67.0,30.3,0.161,0.0330002465093894,0.021083375709249425,34.41558441558442,81.38528138528139,CONNECTOR / HUB,,1.4299130878295612
B. Brown,2022-23,DEN,G-F,80.0,28.5,0.174,0.0323917236054573,0.005852442110469147,44.53463203463203,81.06060606060606,CONNECTOR / HUB,,1.0784769172949
