t_id,t_name,t_ts,t_usage,t_L,t_DA,t_Dpi,c_id,c_name,c_ts,c_usage,c_L,c_DA,c_Dpi,c_role,du,same_ts,d_DA,d_Dpi
1631117,Walker Kessler,UTA 2022-23,0.13,0.0559800912101506,0.17476717867599623,0.059871737621098244,1630534,Ochai Agbaji,UTA 2022-23,0.154,0.002179108884367,0.03913566794920931,0.041342492415207766,ROLE OCCUPANT / SPECIALIST,0.023999999999999994,1,0.13563151072678692,0.018529245205890478
1641712,Rayan Rupert,POR 2023-24,0.131,0.0135380708691981,0.12422811018429847,0.04610356598155277,1629680,Matisse Thybulle,POR 2023-24,0.105,0.0112809774349011,0.040868962141280885,0.027078104771063483,ROLE OCCUPANT / SPECIALIST,0.02600000000000001,1,0.08335914804301758,0.019025461210489286
1630208,Nick Richards,CHA 2023-24,0.131,0.0658941908592143,0.0780456873493165,0.06246943348059867,202397,Ish Smith,CHA 2023-24,0.119,0.0044741507904766,0.12183895881482809,0.03740234657226723,ROLE OCCUPANT / SPECIALIST,0.01200000000000001,1,-0.043793271465511596,0.02506708690833144
1631119,Jaylin Williams,OKC 2022-23,0.133,0.1136958515594601,0.15500436436620568,0.03412666243624582,1630526,Jeremiah Robinson-Earl,OKC 2022-23,0.143,0.0082903530641433,0.1289346839334422,0.024225007728844054,ROLE OCCUPANT / SPECIALIST,0.009999999999999981,1,0.026069680432763476,0.009901654707401765
1626192,Pat Connaughton,MIL 2022-23,0.133,0.0412583193142039,0.24452379605175734,0.0233619185890288,1629652,Luguentz Dort,OKC 2024-25,0.133,0.0067573496824574,0.0758761141938944,0.03655408098357585,ROLE OCCUPANT / SPECIALIST,0.0,0,0.16864768185786294,-0.013192162394547048
201599,DeAndre Jordan,DEN 2022-23,0.134,0.0134834521860741,0.18505157897786884,0.1013221416676479,1631128,Christian Braun,DEN 2022-23,0.127,0.0100967030805079,0.13195848579061498,0.08317228406514121,ROLE OCCUPANT / SPECIALIST,0.007000000000000006,1,0.05309309318725386,0.01814985760250669
1641739,Toumani Camara,POR 2023-24,0.134,0.0294745447017948,0.11178793032583245,0.022727272727272742,1627752,Taurean Prince,LAL 2023-24,0.134,0.0051986157458624,0.036264369936663265,0.02462105457035116,ROLE OCCUPANT / SPECIALIST,0.0,0,0.07552356038916919,-0.0018937818430784167
1630168,Onyeka Okongwu,ATL 2023-24,0.134,0.0260755087341916,0.16061386321983395,0.04683026240960968,1629726,Garrison Mathews,ATL 2023-24,0.11,0.0015656296966758,0.040709209037976146,0.038372133559543845,ROLE OCCUPANT / SPECIALIST,0.024000000000000007,1,0.1199046541818578,0.008458128850065832
1629026,Kenrich Williams,OKC 2022-23,0.134,0.013066971317636,0.3113649919525535,0.024859073062665885,1630598,Aaron Wiggins,OKC 2022-23,0.143,0.0049446831952334,0.05039450295815784,0.02419738296680924,ROLE OCCUPANT / SPECIALIST,0.00899999999999998,1,0.2609704889943957,0.000661690095856645
1642270,Donovan Clingan,POR 2024-25,0.135,0.0213141237739009,0.2818258834668711,0.059159082646450575,1631200,Kris Murray,POR 2024-25,0.133,0.001728617910749,0.04900188370353087,0.04407234299264087,ROLE OCCUPANT / SPECIALIST,0.0020000000000000018,1,0.23282399976334023,0.015086739653809703
1641737,Adem Bona,PHI 2024-25,0.135,0.0943321994609134,0.29590363282957133,0.07584836162922745,201569,Eric Gordon,PHI 2024-25,0.14,0.0096301511794169,0.15042051371081266,0.03740436669902947,ROLE OCCUPANT / SPECIALIST,0.0050000000000000044,1,0.14548311911875866,0.03844399493019798
1631200,Kris Murray,POR 2023-24,0.136,0.0204300133619883,0.061693978729373655,0.015384326780086489,1626220,Royce O'Neale,BKN 2022-23,0.136,0.0180531925008067,0.02458842058663302,0.04458351194055833,ROLE OCCUPANT / SPECIALIST,0.0,0,0.037105558142740636,-0.029199185160471843
101108,Chris Paul,SAS 2024-25,0.137,0.049450317323337,0.10252161274130178,0.08183921745586623,203084,Harrison Barnes,SAS 2024-25,0.157,0.0032460446141262,0.08779953109921246,0.04377657993045592,ROLE OCCUPANT / SPECIALIST,0.01999999999999999,1,0.014722081642089324,0.03806263752541031
