player,player_id,mover_id,gap_seasons,position,position_detail,origin_team,origin_season,dest_team,dest_season,move,origin_role,dest_role,origin_top_play,dest_top_play,origin_init,dest_init,origin_usage,dest_usage,origin_influence,dest_influence,origin_influence_resid,dest_influence_resid,origin_archetype,dest_archetype,self_sim,decoy_sim,delta,portable,origin_tri,stability,travel_score,fit_score,decoy_sim_wtd,decoy_sim_max,blocker_mpg,n_blocker_pool,crowding_score,travel_hi,fit_hi,quadrant
L. Nance Jr.,1626204,1626204_NOP23_ATL24,0,F/C,F-C,NOP,2023-24,ATL,2024-25,NOP 2023-24 → ATL 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,239,154,0.031,0.02,0.009,0.004,-0.003,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.568,0.131,0.437,YES,NOP,0.5210921924106953,0.12983226874292603,-0.131,-0.20826957398127943,0.044250026965289985,35.7,10,0.20826957398127943,True,False,redundant
M. Bridges,1628969,1628969_BKN23_NYK24,0,F/Wing,G-F,BKN,2023-24,NYK,2024-25,BKN 2023-24 → NYK 2024-25,PnR ball-handler / hub,Spot-up / off-ball,PNR,SPOT_UP,1453,1112,0.193,0.155,0.022,0.093,-0.048,0.045,"High-usage, low structural influence",Standard role occupant,0.451,0.017,0.434,YES,BKN,0.7152440749083346,0.2841631124517531,-0.017,-0.01035979969452789,0.13458951364590013,37.6,9,0.01035979969452789,True,True,additive
K. Knox II,1628995,1628995_DET22_POR22,0,F,Forward,DET,2022-23,POR,2022-23,DET 2022-23 → POR 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,203,154,0.027,0.02,0.003,0.002,-0.008,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.166,-0.578,0.412,YES,DET,0.9532616428081107,0.19381365454162144,0.578,-0.38687976156947573,0.26187749297118734,35.6,10,0.38687976156947573,True,True,additive
C. Wood,1626174,1626174_DAL22_LAL23,0,F/Wing,F,DAL,2022-23,LAL,2023-24,DAL 2022-23 → LAL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,890,278,0.12,0.036,0.012,0.002,-0.021,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.418,0.008,0.409,YES,DAL,0.21341251247017,0.16017858025916193,-0.008,0.041997024096710314,0.32859643313969666,35.5,10,-0.041997024096710314,True,True,additive
C. Payne,1626166,1626166_PHI23_NYK24,0,G,G,PHI,2023-24,NYK,2024-25,PHI 2023-24 → NYK 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,273,425,0.036,0.059,0.002,0.011,-0.01,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.378,-0.03,0.408,YES,PHI,0.21341251247017,0.08896538286137134,0.03,0.0843579638195371,0.31603835985517387,37.6,9,-0.0843579638195371,False,True,missed-need
A. Davis,203076,203076_LAL24_DAL24,0,F/C,Forward-Center,LAL,2024-25,DAL,2024-25,LAL 2024-25 → DAL 2024-25,Post hub,PnR ball-handler / hub,POST_UP,PNR,811,152,0.113,0.021,0.023,0.003,-0.007,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.206,-0.2,0.405,YES,LAL,0.5529602903513192,0.21642439776583255,0.2,0.2255553307988167,0.4598728806641166,36.1,10,-0.2255553307988167,True,True,additive
N. Batum,201587,201587_PHI23_LAC24,0,F/Wing,G-F,PHI,2023-24,LAC,2024-25,PHI 2023-24 → LAC 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,213,217,0.028,0.031,0.013,0.01,0.002,-0.002,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.533,0.131,0.402,YES,PHI,0.21341251247017,0.09658509385388386,-0.131,0.09122953329571719,0.6094101440657516,32.6,10,-0.09122953329571719,False,False,irrelevant
G. Trent Jr.,1629018,1629018_TOR23_MIL24,0,G,G,TOR,2023-24,MIL,2024-25,TOR 2023-24 → MIL 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,855,665,0.113,0.089,0.007,0.012,-0.022,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.681,0.281,0.4,YES,TOR,0.5391477993554418,0.1851404434978462,-0.281,0.2509959324627708,0.5652605208913515,36.1,10,-0.2509959324627708,True,False,redundant
J. Nurkić,203994,203994_POR22_PHX23,0,C,C,POR,2022-23,PHX,2023-24,POR 2022-23 → PHX 2023-24,Post hub,PnR ball-handler / hub,POST_UP,PNR,552,685,0.073,0.091,0.026,0.007,0.008,-0.016,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.471,0.077,0.394,YES,POR,0.21341251247017,0.1464544221343012,-0.077,0.1535171888033997,0.42418655141923794,37.2,10,-0.1535171888033997,True,False,redundant
J. Nwora,1629670,1629670_MIL22_IND22,0,F,Forward,MIL,2022-23,IND,2022-23,MIL 2022-23 → IND 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,210,270,0.027,0.034,0.007,0.006,-0.004,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.458,0.074,0.384,YES,MIL,0.21341251247017,0.08837612770495135,-0.074,-0.010883767254020805,0.27716272367131195,33.6,10,0.010883767254020805,False,False,irrelevant
J. Richardson,1626196,1626196_SAS22_NOP22,0,C,Center,SAS,2022-23,NOP,2022-23,SAS 2022-23 → NOP 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,398,143,0.05,0.019,0.006,0.005,-0.008,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.468,0.085,0.383,YES,SAS,0.21341251247017,0.10421353520284465,-0.085,0.19574128083286033,0.4645821982864716,35.3,10,-0.19574128083286033,True,False,redundant
A. Lawson,1630639,1630639_DAL23_TOR24,0,G,G,DAL,2023-24,TOR,2024-25,DAL 2023-24 → TOR 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,109,185,0.015,0.025,0.006,0.005,-0.005,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.589,0.213,0.376,YES,DAL,0.21341251247017,0.07683927099230192,-0.213,0.20439559586677944,0.6979575878730722,32.2,10,-0.20439559586677944,False,False,irrelevant
