player,player_id,mover_id,gap_seasons,position,position_detail,origin_team,origin_season,dest_team,dest_season,move,origin_role,dest_role,origin_top_play,dest_top_play,origin_init,dest_init,origin_usage,dest_usage,origin_influence,dest_influence,origin_influence_resid,dest_influence_resid,origin_archetype,dest_archetype,self_sim,decoy_sim,delta,portable,origin_tri,stability,travel_score,fit_score,decoy_sim_wtd,decoy_sim_max,blocker_mpg,n_blocker_pool,crowding_score,travel_hi,fit_hi,quadrant
D. Finney-Smith,1627827,1627827_DAL22_BKN22,0,F,Forward,DAL,2022-23,BKN,2022-23,DAL 2022-23 → BKN 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,294,180,0.04,0.024,0.01,0.005,-0.002,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.709,0.69,0.019,YES,DAL,0.21341251247017,0.10120550206959211,-0.69,0.604887208240417,0.8107391606450314,35.7,10,-0.604887208240417,False,False,irrelevant
T. Warren,203933,203933_BKN22_PHX22,0,F,Forward,BKN,2022-23,PHX,2022-23,BKN 2022-23 → PHX 2022-23,PnR ball-handler / hub,Spot-up / off-ball,PNR,SPOT_UP,206,54,0.028,0.007,0.004,0.008,-0.007,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.113,-0.131,0.018,YES,BKN,0.21341251247017,0.08797540616438669,0.131,-0.28757783080608,0.8583694861869801,35.6,10,0.28757783080608,False,True,missed-need
A. Wiggins,203952,203952_GSW24_MIA24,0,G,Guard,GSW,2024-25,MIA,2024-25,GSW 2024-25 → MIA 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,607,260,0.083,0.036,0.008,0.005,-0.012,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.114,0.102,0.011,YES,GSW,-0.23694988618441373,0.07418496584023831,-0.102,0.25202850464083404,0.7050802694267208,35.4,10,-0.25202850464083404,False,False,irrelevant
K. Dunn,1627739,1627739_UTA23_LAC24,0,G,G,UTA,2023-24,LAC,2024-25,UTA 2023-24 → LAC 2024-25,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,327,441,0.043,0.062,0.005,0.015,-0.007,-0.0,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.328,-0.339,0.011,YES,UTA,0.07828959166789008,0.0840293480017032,0.339,-0.17859592484483122,0.5272713802020118,35.3,10,0.17859592484483122,False,True,missed-need
D. Eubanks,1629234,1629234_PHX23_UTA24,0,F/C,F-C,PHX,2023-24,UTA,2024-25,PHX 2023-24 → UTA 2024-25,Cutter / connector,Cutter / connector,CUT,CUT,269,156,0.036,0.021,0.072,0.033,0.06,0.021,Standard role occupant,Peripheral / replaceable wiring,0.681,0.671,0.01,YES,PHX,0.21341251247017,0.16963307567733055,-0.671,0.6177499770447004,0.856881398983556,31.5,10,-0.6177499770447004,True,False,redundant
K. Love,201567,201567_CLE22_MIA22,0,F/C,Forward-Center,CLE,2022-23,MIA,2022-23,CLE 2022-23 → MIA 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,282,137,0.038,0.018,0.004,0.001,-0.008,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.088,0.079,0.008,YES,CLE,0.21341251247017,0.09428785724288478,-0.079,0.056047505286468735,0.19919120881459448,31.2,10,-0.056047505286468735,False,False,irrelevant
J. Goodwin,1630692,1630692_PHX23_MEM23,0,G,Guard,PHX,2023-24,MEM,2023-24,PHX 2023-24 → MEM 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,165,162,0.022,0.022,0.002,0.005,-0.009,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.251,0.246,0.005,YES,PHX,0.21341251247017,0.07909586911246402,-0.246,0.23680400945169783,0.7614316403952416,35.3,10,-0.23680400945169783,False,False,irrelevant
M. Beasley,1627736,1627736_UTA22_LAL22,0,G,Guard,UTA,2022-23,LAL,2022-23,UTA 2022-23 → LAL 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,661,270,0.085,0.034,0.013,0.005,-0.008,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.732,0.727,0.005,YES,UTA,0.21341251247017,0.136249403557278,-0.727,0.5170506810034328,0.8659658298697531,35.5,10,-0.5170506810034328,True,False,redundant
R. Covington,203496,203496_LAC22_PHI23,0,F/Wing,F,LAC,2022-23,PHI,2023-24,LAC 2022-23 → PHI 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,239,86,0.032,0.011,0.003,0.005,-0.009,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.128,0.125,0.003,YES,LAC,0.21341251247017,0.08843576679675383,-0.125,0.11680283947021605,0.2190814076085653,30.2,10,-0.11680283947021605,False,False,irrelevant
M. Muscala,203488,203488_BOS22_WAS23,0,F/C,F-C,BOS,2022-23,WAS,2023-24,BOS 2022-23 → WAS 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,87,79,0.011,0.01,0.001,0.008,-0.01,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.367,-0.369,0.002,YES,BOS,0.21341251247017,0.07404629874646296,0.369,-0.26275718595577113,0.6100900126027787,27.2,10,0.26275718595577113,False,True,missed-need
L. Stevens,1630205,1630205_CLE22_MEM23,0,F/Wing,F,CLE,2022-23,MEM,2023-24,CLE 2022-23 → MEM 2023-24,Spot-up / off-ball,Post hub,SPOT_UP,POST_UP,301,190,0.04,0.025,0.002,0.004,-0.01,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.087,0.086,0.001,YES,CLE,0.21341251247017,0.09315812362907075,-0.086,0.030418612025256076,0.24176196062052063,30.2,10,-0.030418612025256076,False,False,irrelevant
T. Brown Jr.,1628972,1628972_MIN23_DET23,0,F,Guard-Forward,MIN,2023-24,DET,2023-24,MIN 2023-24 → DET 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,130,116,0.018,0.015,0.002,0.002,-0.009,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.572,0.574,-0.002,NO,MIN,0.21341251247017,0.07408311128916967,-0.574,0.5084014113443296,0.8529643305212681,30.9,10,-0.5084014113443296,False,False,irrelevant
D. McDermott,203926,203926_IND23_SAC24,0,F/Wing,F,IND,2023-24,SAC,2024-25,IND 2023-24 → SAC 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,64,108,0.008,0.015,0.002,0.003,-0.009,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.008,0.014,-0.006,NO,IND,0.21341251247017,0.0703952556860652,-0.014,-0.18034474805354642,0.11408990194722053,35.2,10,0.18034474805354642,False,True,missed-need
J. Nurkić,203994,203994_PHX24_CHA24,0,C,Center,PHX,2024-25,CHA,2024-25,PHX 2024-25 → CHA 2024-25,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,187,199,0.026,0.028,0.007,0.005,-0.005,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.353,0.364,-0.011,NO,PHX,-0.46693387915317536,-0.008173459288854434,-0.364,-0.17864554815075417,0.3804679214639666,34.2,10,0.17864554815075417,False,False,irrelevant
K. Martin,1630231,1630231_HOU22_PHI23,0,F/Wing,F,HOU,2022-23,PHI,2023-24,HOU 2022-23 → PHI 2023-24,Cutter / connector,Transition initiator,CUT,TRANSITION,751,141,0.099,0.019,0.034,0.048,0.01,0.037,Peripheral / replaceable wiring,Standard role occupant,0.131,0.148,-0.018,NO,HOU,0.21341251247017,0.17771892979309384,-0.148,0.11655752526213414,0.4889569918218396,33.8,10,-0.11655752526213414,True,False,redundant
J. Carter,1628975,1628975_MIL22_CHI23,0,G,G,MIL,2022-23,CHI,2023-24,MIL 2022-23 → CHI 2023-24,Pull-up scorer,Spot-up / off-ball,PULL_UP,SPOT_UP,545,359,0.069,0.049,0.04,0.009,0.023,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.034,0.053,-0.019,NO,MIL,0.21341251247017,0.164128168285246,-0.053,0.11004584050353439,0.4207877207573078,36.5,10,-0.11004584050353439,True,False,redundant
K. Anderson,203937,203937_GSW24_MIA24,0,G,Guard,GSW,2024-25,MIA,2024-25,GSW 2024-25 → MIA 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,161,129,0.022,0.018,0.006,0.001,-0.005,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.079,-0.057,-0.022,NO,GSW,0.21341251247017,0.08612547724306631,0.057,-0.07506971801972818,0.08035029526541373,35.4,10,0.07506971801972818,False,True,missed-need
J. Rhoden,1631197,1631197_DET23_TOR24,0,G,G,DET,2023-24,TOR,2024-25,DET 2023-24 → TOR 2024-25,Spot-up / off-ball,Transition initiator,SPOT_UP,TRANSITION,69,81,0.009,0.011,0.0,0.009,-0.011,-0.002,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.03,-0.007,-0.023,NO,DET,0.21341251247017,0.06882066467103447,0.007,0.04387240264862242,0.21090857842112248,29.4,10,-0.04387240264862242,False,True,missed-need
E. Gordon,201569,201569_LAC22_PHX23,0,G,G,LAC,2022-23,PHX,2023-24,LAC 2022-23 → PHX 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,198,631,0.026,0.084,0.001,0.015,-0.011,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.684,0.715,-0.03,NO,LAC,0.21341251247017,0.07848962607794585,-0.715,0.5757255100747235,0.7937339445511428,33.5,10,-0.5757255100747235,False,False,irrelevant
C. Johnson,1629661,1629661_PHX22_BKN22,0,F,Forward,PHX,2022-23,BKN,2022-23,PHX 2022-23 → BKN 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,175,335,0.023,0.045,0.011,0.005,0.0,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.44,0.473,-0.033,NO,PHX,0.21341251247017,0.09057970109175978,-0.473,0.41279686455994435,0.6126444028074222,35.7,10,-0.41279686455994435,False,False,irrelevant
J. Nowell,1629669,1629669_MEM23_NOP24,0,G,Guard,MEM,2023-24,NOP,2024-25,MEM 2023-24 → NOP 2024-25,Spot-up / off-ball,Post hub,SPOT_UP,POST_UP,54,63,0.007,0.009,0.002,0.004,-0.009,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.135,0.172,-0.036,NO,MEM,0.21341251247017,0.06864224787125836,-0.172,0.24127668101501662,0.570268736759639,35.0,10,-0.24127668101501662,False,False,irrelevant
D. Schröder,203471,203471_TOR23_BKN23,0,G,Guard,TOR,2023-24,BKN,2023-24,TOR 2023-24 → BKN 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,575,397,0.076,0.053,0.004,0.001,-0.015,-0.013,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.483,0.525,-0.042,NO,TOR,0.21341251247017,0.11976399915942443,-0.525,0.2956861443063195,0.6789998018854444,34.8,10,-0.2956861443063195,True,False,redundant
J. Goodwin,1630692,1630692_WAS22_PHX23,0,G,G,WAS,2022-23,PHX,2023-24,WAS 2022-23 → PHX 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,338,165,0.044,0.022,0.003,0.002,-0.01,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.108,0.153,-0.045,NO,WAS,0.21341251247017,0.09728410667104712,-0.153,0.05468392555777892,0.35568131807900466,37.2,10,-0.05468392555777892,False,False,irrelevant
S. Mykhailiuk,1629004,1629004_BOS23_UTA24,0,F/Wing,G-F,BOS,2023-24,UTA,2024-25,BOS 2023-24 → UTA 2024-25,Spot-up / off-ball,PnR ball-handler / hub,SPOT_UP,PNR,134,286,0.018,0.039,0.002,0.003,-0.009,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.117,-0.07,-0.046,NO,BOS,0.21341251247017,0.07837110220667938,0.07,0.061831113498707256,0.4518435014875433,31.5,10,-0.061831113498707256,False,True,missed-need
D. Šarić,203967,203967_PHX22_OKC22,0,F/C,Forward-Center,PHX,2022-23,OKC,2022-23,PHX 2022-23 → OKC 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,189,110,0.025,0.014,0.001,0.042,-0.01,0.031,Peripheral / replaceable wiring,Standard role occupant,-0.001,0.046,-0.047,NO,PHX,0.21341251247017,0.08139602779403789,-0.046,0.034723261554718436,0.10943217752424418,30.7,10,-0.034723261554718436,False,True,missed-need
A. Burks,202692,202692_DET23_NYK23,0,G,Guard,DET,2023-24,NYK,2023-24,DET 2023-24 → NYK 2023-24,Spot-up / off-ball,Pull-up scorer,SPOT_UP,PULL_UP,423,159,0.056,0.022,0.005,0.002,-0.009,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.012,0.035,-0.047,NO,DET,0.3098374142116571,0.12143124489611899,-0.035,0.04563544973504397,0.416053861128116,35.4,10,-0.04563544973504397,True,True,additive
D. Melton,1629001,1629001_PHI23_GSW24,0,G,G,PHI,2023-24,GSW,2024-25,PHI 2023-24 → GSW 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,363,53,0.048,0.007,0.008,0.003,-0.005,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.023,0.074,-0.051,NO,PHI,0.7340950608271879,0.1758072716333078,-0.074,-0.0303421689518109,0.11836441121967953,32.2,10,0.0303421689518109,True,False,redundant
M. Bridges,1628969,1628969_PHX22_BKN22,0,F,Guard-Forward,PHX,2022-23,BKN,2022-23,PHX 2022-23 → BKN 2022-23,Spot-up / off-ball,PnR ball-handler / hub,SPOT_UP,PNR,820,590,0.107,0.079,0.013,0.01,-0.014,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.781,-0.729,-0.052,NO,PHX,0.21341251247017,0.1665400340414629,0.729,-0.8323541022833499,-0.3293180367259953,30.4,10,0.8323541022833499,True,True,additive
M. Ryan,1630346,1630346_MIN22_NOP23,0,F/Wing,F,MIN,2022-23,NOP,2023-24,MIN 2022-23 → NOP 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,59,110,0.008,0.014,0.016,0.003,0.005,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.184,-0.13,-0.054,NO,MIN,0.21341251247017,0.09018100312130145,0.13,-0.17360105098963236,0.16869379872143137,32.7,10,0.17360105098963236,False,True,missed-need
G. Hayward,202330,202330_CHA23_OKC23,0,F,Forward,CHA,2023-24,OKC,2023-24,CHA 2023-24 → OKC 2023-24,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,328,119,0.044,0.016,0.004,0.002,-0.009,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.065,-0.01,-0.054,NO,CHA,-0.302277411002403,0.03524290987102807,0.01,0.062462477739898936,0.39344691568043594,34.0,10,-0.062462477739898936,False,True,missed-need
P. Beverley,201976,201976_PHI23_MIL23,0,G,Guard,PHI,2023-24,MIL,2023-24,PHI 2023-24 → MIL 2023-24,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,252,152,0.034,0.02,0.002,0.001,-0.01,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.043,0.101,-0.058,NO,PHI,0.21341251247017,0.08898368579103996,-0.101,0.00931618906621206,0.177887272754309,35.3,10,-0.00931618906621206,False,False,irrelevant
O. Toppin,1630167,1630167_NYK22_IND23,0,F/Wing,F,NYK,2022-23,IND,2023-24,NYK 2022-23 → IND 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,415,587,0.055,0.075,0.005,0.023,-0.009,0.005,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.266,0.324,-0.059,NO,NYK,0.21341251247017,0.1072800467706225,-0.324,0.1492887666283444,0.413925316851024,27.7,10,-0.1492887666283444,True,False,redundant
T. Bryant,1628418,1628418_LAL22_DEN22,0,F/C,Center-Forward,LAL,2022-23,DEN,2022-23,LAL 2022-23 → DEN 2022-23,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,296,67,0.038,0.009,0.003,0.004,-0.009,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.256,-0.194,-0.062,NO,LAL,0.21341251247017,0.0944350517611709,0.194,-0.07899260635891128,0.30773209990791245,33.7,10,0.07899260635891128,False,True,missed-need
J. Giddey,1630581,1630581_OKC23_CHI24,0,G,G,OKC,2023-24,CHI,2024-25,OKC 2023-24 → CHI 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,904,887,0.119,0.117,0.005,0.011,-0.027,-0.021,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.169,0.231,-0.062,NO,OKC,0.05333504888424221,0.13339227085016434,-0.231,-0.015335727217671874,0.33203429190307565,33.1,10,0.015335727217671874,True,False,redundant
C. Reddish,1629629,1629629_POR22_LAL23,0,F/Wing,F-G,POR,2022-23,LAL,2023-24,POR 2022-23 → LAL 2023-24,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,203,250,0.027,0.032,0.003,0.001,-0.008,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.234,-0.171,-0.063,NO,POR,0.21341251247017,0.08659096291971871,0.171,-0.18578113822717085,0.34900136634748125,35.5,10,0.18578113822717085,False,True,missed-need
L. Waters III,1630322,1630322_OKC23_GSW24,0,F/Wing,F,OKC,2023-24,GSW,2024-25,OKC 2023-24 → GSW 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,99,188,0.013,0.026,0.001,0.002,-0.01,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.031,0.099,-0.068,NO,OKC,0.04526225518795694,0.051090227709066724,-0.099,0.48457723334745545,0.759372507456147,29.2,10,-0.48457723334745545,False,False,irrelevant
J. Ingles,204060,204060_MIL22_ORL23,0,F/Wing,F-G,MIL,2022-23,ORL,2023-24,MIL 2022-23 → ORL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,266,222,0.034,0.03,0.013,0.005,0.001,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.249,-0.181,-0.068,NO,MIL,0.21341251247017,0.1044197450225382,0.181,-0.23640727522043387,0.33139997711859326,35.0,10,0.23640727522043387,True,True,additive
I. Smith,202397,202397_DEN22_CHA23,0,G,G,DEN,2022-23,CHA,2023-24,DEN 2022-23 → CHA 2023-24,Pull-up scorer,Pull-up scorer,PULL_UP,PULL_UP,131,172,0.017,0.023,0.026,0.004,0.014,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.17,-0.101,-0.07,NO,DEN,0.21341251247017,0.10950802170623727,0.101,-0.14078425042687706,-0.01844043116436169,37.4,10,0.14078425042687706,True,True,additive
M. Morris Sr.,202694,202694_PHI23_CLE23,0,F,Forward,PHI,2023-24,CLE,2023-24,PHI 2023-24 → CLE 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,208,63,0.028,0.009,0.002,0.003,-0.009,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.026,0.045,-0.071,NO,PHI,0.21341251247017,0.08497452652539099,-0.045,0.06951283157014324,0.351046966477476,35.3,10,-0.06951283157014324,False,True,missed-need
M. Morris,1628420,1628420_MIN23_PHX24,0,G,G,MIN,2023-24,PHX,2024-25,MIN 2023-24 → PHX 2024-25,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,118,187,0.016,0.026,0.001,0.01,-0.01,-0.001,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.2,-0.127,-0.073,NO,MIN,0.21341251247017,0.0762307980372533,0.127,-0.10959748435438083,0.25191745257258324,37.3,10,0.10959748435438083,False,True,missed-need
T. Bryant,1628418,1628418_DEN22_MIA23,0,F/C,C-F,DEN,2022-23,MIA,2023-24,DEN 2022-23 → MIA 2023-24,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,67,144,0.009,0.019,0.004,0.004,-0.007,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.058,0.023,-0.081,NO,DEN,0.21341251247017,0.07421498139983307,-0.023,-0.07445619891492894,0.34834311472387613,34.0,10,0.07445619891492894,False,True,missed-need
W. Matthews,202083,202083_MIL22_ATL23,0,G,G,MIL,2022-23,ATL,2023-24,MIL 2022-23 → ATL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,162,97,0.021,0.012,0.009,0.003,-0.002,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.342,-0.252,-0.09,NO,MIL,0.21341251247017,0.09075638826151727,0.252,-0.2370632385230508,0.15248172380955008,35.7,10,0.2370632385230508,False,True,missed-need
M. Brown,1629650,1629650_LAC22_POR23,0,C,C,LAC,2022-23,POR,2023-24,LAC 2022-23 → POR 2023-24,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,56,50,0.007,0.007,0.01,0.002,-0.001,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.103,-0.013,-0.091,NO,LAC,0.21341251247017,0.08096666059742098,0.013,-0.08869443900895042,0.45939056182517607,33.9,10,0.08869443900895042,False,True,missed-need
A. Burks,202692,202692_NYK23_MIA24,0,G,G,NYK,2023-24,MIA,2024-25,NYK 2023-24 → MIA 2024-25,Pull-up scorer,Spot-up / off-ball,PULL_UP,SPOT_UP,159,267,0.022,0.037,0.002,0.005,-0.01,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.249,-0.156,-0.094,NO,NYK,0.21341251247017,0.08193448818118715,0.156,-0.24040665334850228,0.13664362816139558,35.4,10,0.24040665334850228,False,True,missed-need
T. Jones,1630200,1630200_SAS24_CHI24,0,F,Forward,SAS,2024-25,CHI,2024-25,SAS 2024-25 → CHI 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,88,142,0.012,0.019,0.003,0.007,-0.008,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.029,0.066,-0.095,NO,SAS,0.1843658477864679,0.07111511490517496,-0.066,0.08190490645473841,0.3998633429944245,33.1,10,-0.08190490645473841,False,False,irrelevant
J. LaRavia,1631222,1631222_MEM24_SAC24,0,F,Forward,MEM,2024-25,SAC,2024-25,MEM 2024-25 → SAC 2024-25,PnR ball-handler / hub,Spot-up / off-ball,PNR,SPOT_UP,253,98,0.033,0.013,0.007,0.001,-0.005,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.324,-0.228,-0.096,NO,MEM,-0.1707668950465087,0.05051263057894734,0.228,-0.08093326415429303,0.3785503533148536,35.2,10,0.08093326415429303,False,True,missed-need
R. Bullock Jr.,203493,203493_DAL22_HOU23,0,F/Wing,G-F,DAL,2022-23,HOU,2023-24,DAL 2022-23 → HOU 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,468,80,0.063,0.01,0.005,0.002,-0.011,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.166,-0.063,-0.103,NO,DAL,0.21341251247017,0.11490070476978861,0.063,-0.019907011090151,0.31363098742517403,36.8,10,0.019907011090151,True,True,additive
T. Mann,1629611,1629611_LAC24_ATL24,0,F,Guard-Forward,LAC,2024-25,ATL,2024-25,LAC 2024-25 → ATL 2024-25,Spot-up / off-ball,Transition initiator,SPOT_UP,TRANSITION,182,184,0.026,0.024,0.004,0.006,-0.007,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.136,-0.032,-0.104,NO,LAC,0.11778261557996585,0.07453900059419485,0.032,0.1550642814650666,0.43668562967498564,35.7,10,-0.1550642814650666,False,True,missed-need
J. Randle,203944,203944_NYK23_MIN24,0,F/C,F-C,NYK,2023-24,MIN,2024-25,NYK 2023-24 → MIN 2024-25,Driving creator,PnR ball-handler / hub,DRIVE,PNR,875,993,0.12,0.136,0.008,0.01,-0.024,-0.029,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.128,-0.023,-0.105,NO,NYK,0.2206893513450186,0.16446346196349715,0.023,-0.1696318161227259,0.02051665750540486,36.3,10,0.1696318161227259,True,True,additive
K. Caldwell-Pope,203484,203484_DEN23_ORL24,0,G,G,DEN,2023-24,ORL,2024-25,DEN 2023-24 → ORL 2024-25,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,677,578,0.09,0.08,0.078,0.021,0.056,0.001,Standard role occupant,Peripheral / replaceable wiring,-0.082,0.025,-0.107,NO,DEN,0.8729464969267496,0.32724917004165477,-0.025,0.03777482802660429,0.10236227611229115,34.4,10,-0.03777482802660429,True,True,additive
T. Evbuomwan,1641787,1641787_DET23_BKN24,0,F/Wing,F,DET,2023-24,BKN,2024-25,DET 2023-24 → BKN 2024-25,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,64,238,0.008,0.033,0.001,0.008,-0.011,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.181,0.288,-0.107,NO,DET,0.21341251247017,0.06771399013611276,-0.288,0.27073371920493366,0.505779471652709,31.6,10,-0.27073371920493366,False,False,irrelevant
B. Brown,1628971,1628971_DEN22_IND23,0,F/Wing,G-F,DEN,2022-23,IND,2023-24,DEN 2022-23 → IND 2023-24,Spot-up / off-ball,PnR ball-handler / hub,SPOT_UP,PNR,785,352,0.105,0.045,0.032,0.004,0.006,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.097,0.023,-0.119,NO,DEN,0.21341251247017,0.18206321654453114,-0.023,0.061961963383822094,0.1653685368304943,33.2,10,-0.061961963383822094,True,True,additive
T. Jones,1626145,1626145_WAS23_PHX24,0,G,G,WAS,2023-24,PHX,2024-25,WAS 2023-24 → PHX 2024-25,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,681,645,0.086,0.091,0.117,0.003,0.096,-0.019,Standard role occupant,Peripheral / replaceable wiring,-0.281,-0.161,-0.119,NO,WAS,0.21341251247017,0.30591952690188695,0.161,-0.13264129076235906,0.09400706004458914,37.3,10,0.13264129076235906,True,True,additive
N. Alexander-Walker,1629638,1629638_UTA22_MIN22,0,G,Guard,UTA,2022-23,MIN,2022-23,UTA 2022-23 → MIN 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,198,131,0.025,0.017,0.001,0.004,-0.011,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.076,0.203,-0.128,NO,UTA,0.21341251247017,0.08097997987621272,-0.203,0.08532694242494347,0.6768446422350182,33.0,10,-0.08532694242494347,False,False,irrelevant
O. Agbaji,1630534,1630534_UTA23_TOR23,0,G,Guard,UTA,2023-24,TOR,2023-24,UTA 2023-24 → TOR 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,245,186,0.032,0.025,0.001,0.008,-0.011,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.001,0.143,-0.144,NO,UTA,-0.6842667512528888,-0.02918321299072231,-0.143,0.3350244052247819,0.5118448474686464,28.1,10,-0.3350244052247819,False,False,irrelevant
Q. Grimes,1629656,1629656_DAL24_PHI24,0,G,Guard,DAL,2024-25,PHI,2024-25,DAL 2024-25 → PHI 2024-25,Spot-up / off-ball,PnR ball-handler / hub,SPOT_UP,PNR,364,459,0.05,0.063,0.006,0.005,-0.008,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.353,0.498,-0.145,NO,DAL,0.21341251247017,0.10463895584535388,-0.498,0.4056893254697388,0.6742222850448656,34.6,10,-0.4056893254697388,True,False,redundant
