player,player_id,mover_id,gap_seasons,position,position_detail,origin_team,origin_season,dest_team,dest_season,move,origin_role,dest_role,origin_top_play,dest_top_play,origin_init,dest_init,origin_usage,dest_usage,origin_influence,dest_influence,origin_influence_resid,dest_influence_resid,origin_archetype,dest_archetype,self_sim,decoy_sim,delta,portable
R. Jackson,202704,202704_LAC22_DEN22,0,G,Guard,LAC,2022-23,DEN,2022-23,LAC 2022-23 → DEN 2022-23,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,545,126,0.072,0.017,0.002,0.005,-0.016,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.123,0.077,-0.2,NO
C. Duarte,1630537,1630537_IND22_SAC23,0,G,G,IND,2022-23,SAC,2023-24,IND 2022-23 → SAC 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,340,192,0.043,0.025,0.007,0.004,-0.006,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.479,-0.271,-0.208,NO
M. Bamba,1628964,1628964_ORL22_PHI23,0,C,Center,ORL,2022-23,PHI,2023-24,ORL 2022-23 → PHI 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,202,163,0.027,0.022,0.007,0.005,-0.005,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.209,-0.001,-0.208,NO
M. Brogdon,1627763,1627763_BOS22_POR23,0,G,G,BOS,2022-23,POR,2023-24,BOS 2022-23 → POR 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,797,508,0.103,0.07,0.011,0.013,-0.015,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.129,0.34,-0.211,NO
L. Quinones,1631311,1631311_GSW23_NOP24,0,G,G,GSW,2023-24,NOP,2024-25,GSW 2023-24 → NOP 2024-25,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,130,60,0.017,0.008,0.002,0.005,-0.009,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.37,-0.157,-0.213,NO
T. Rozier,1626179,1626179_CHA23_MIA23,0,G,Guard,CHA,2023-24,MIA,2023-24,CHA 2023-24 → MIA 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,567,450,0.077,0.06,0.004,0.005,-0.015,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.067,0.146,-0.214,NO
M. Plumlee,203486,203486_LAC23_PHX24,0,F/C,F-C,LAC,2023-24,PHX,2024-25,LAC 2023-24 → PHX 2024-25,Cutter / connector,Cutter / connector,CUT,CUT,174,194,0.024,0.027,0.014,0.033,0.003,0.022,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.096,0.316,-0.219,NO
J. McDaniels,1629667,1629667_PHI22_TOR23,0,F/C,F-C,PHI,2022-23,TOR,2023-24,PHI 2022-23 → TOR 2023-24,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,119,191,0.016,0.025,0.005,0.001,-0.006,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.363,-0.142,-0.221,NO
C. Osman,1626224,1626224_CLE22_SAS23,0,F/Wing,F,CLE,2022-23,SAS,2023-24,CLE 2022-23 → SAS 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,551,399,0.074,0.051,0.008,0.005,-0.01,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.107,0.12,-0.228,NO
W. Barton,203115,203115_WAS22_TOR22,0,G,Guard,WAS,2022-23,TOR,2022-23,WAS 2022-23 → TOR 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,300,74,0.039,0.01,0.002,0.003,-0.01,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.084,0.329,-0.244,NO
G. Niang,1627777,1627777_PHI22_CLE23,0,F/Wing,F,PHI,2022-23,CLE,2023-24,PHI 2022-23 → CLE 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,531,643,0.072,0.089,0.015,0.007,-0.003,-0.015,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.146,0.393,-0.247,NO
M. Bagley III,1628963,1628963_DET23_WAS23,0,F,Forward,DET,2023-24,WAS,2023-24,DET 2023-24 → WAS 2023-24,PnR ball-handler / hub,Driving creator,PNR,DRIVE,169,196,0.022,0.025,0.003,0.002,-0.009,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.251,0.007,-0.258,NO
C. Jones,1641732,1641732_SAC23_WAS24,0,G,G,SAC,2023-24,WAS,2024-25,SAC 2023-24 → WAS 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,69,82,0.009,0.011,0.003,0.025,-0.008,0.014,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.101,0.359,-0.259,NO
K. Middleton,203114,203114_MIL24_WAS24,0,F,Forward,MIL,2024-25,WAS,2024-25,MIL 2024-25 → WAS 2024-25,PnR ball-handler / hub,Post hub,PNR,POST_UP,227,140,0.03,0.019,0.005,0.033,-0.007,0.021,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.416,-0.156,-0.26,NO
P. Mills,201988,201988_BKN22_ATL23,0,G,G,BKN,2022-23,ATL,2023-24,BKN 2022-23 → ATL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,222,52,0.03,0.007,0.003,0.003,-0.008,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.17,0.433,-0.263,NO
D. Brooks,1628415,1628415_MEM22_HOU23,0,F/Wing,G-F,MEM,2022-23,HOU,2023-24,MEM 2022-23 → HOU 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,1020,813,0.13,0.104,0.012,0.014,-0.025,-0.012,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.286,-0.017,-0.269,NO
J. Goodwin,1630692,1630692_MEM23_LAL24,0,G,G,MEM,2023-24,LAL,2024-25,MEM 2023-24 → LAL 2024-25,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,162,119,0.022,0.017,0.005,0.001,-0.007,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.11,0.162,-0.272,NO
O. Brissett,1629052,1629052_IND22_BOS23,0,F/Wing,F-G,IND,2022-23,BOS,2023-24,IND 2022-23 → BOS 2023-24,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,362,157,0.046,0.021,0.007,0.004,-0.006,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.406,-0.131,-0.275,NO
B. Brown,1628971,1628971_TOR24_NOP24,0,F,Forward,TOR,2024-25,NOP,2024-25,TOR 2024-25 → NOP 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,135,195,0.018,0.026,0.004,0.009,-0.008,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.424,0.702,-0.277,NO
Z. LaVine,203897,203897_CHI24_SAC24,0,G,Guard,CHI,2024-25,SAC,2024-25,CHI 2024-25 → SAC 2024-25,Pull-up scorer,Driving creator,PULL_UP,DRIVE,761,488,0.1,0.067,0.124,0.003,0.099,-0.013,Hidden structural hub,Peripheral / replaceable wiring,-0.418,-0.14,-0.278,NO
S. Curry,203552,203552_DAL23_CHA23,0,G,Guard,DAL,2023-24,CHA,2023-24,DAL 2023-24 → CHA 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,136,61,0.018,0.008,0.004,0.006,-0.007,-0.005,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.471,0.75,-0.279,NO
B. Biyombo,202687,202687_PHX22_MEM23,0,C,C,PHX,2022-23,MEM,2023-24,PHX 2022-23 → MEM 2023-24,Post hub,Post hub,POST_UP,POST_UP,215,122,0.028,0.016,0.048,0.027,0.036,0.016,Standard role occupant,Peripheral / replaceable wiring,-0.546,-0.265,-0.281,NO
J. Holiday,203200,203200_ATL22_DAL22,0,G,Guard,ATL,2022-23,DAL,2022-23,ATL 2022-23 → DAL 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,119,80,0.015,0.011,0.004,0.004,-0.007,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.348,-0.063,-0.285,NO
M. Thybulle,1629680,1629680_PHI22_POR22,0,F,Guard-Forward,PHI,2022-23,POR,2022-23,PHI 2022-23 → POR 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,111,137,0.015,0.018,0.007,0.002,-0.004,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.632,-0.347,-0.286,NO
B. Bogdanović,203992,203992_ATL24_LAC24,0,G,Guard,ATL,2024-25,LAC,2024-25,ATL 2024-25 → LAC 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,225,248,0.029,0.035,0.009,0.002,-0.003,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.203,0.088,-0.29,NO
R. Barrett,1629628,1629628_NYK23_TOR23,0,F,Forward-Guard,NYK,2023-24,TOR,2023-24,NYK 2023-24 → TOR 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,446,559,0.061,0.074,0.002,0.003,-0.013,-0.016,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.113,0.196,-0.31,NO
M. Fultz,1628365,1628365_ORL23_SAC24,0,G,G,ORL,2023-24,SAC,2024-25,ORL 2023-24 → SAC 2024-25,Driving creator,PnR ball-handler / hub,DRIVE,PNR,336,68,0.045,0.009,0.004,0.001,-0.009,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.122,0.188,-0.31,NO
D. Banton,1630625,1630625_TOR22_BOS23,0,F/Wing,F,TOR,2022-23,BOS,2023-24,TOR 2022-23 → BOS 2023-24,Transition initiator,Driving creator,TRANSITION,DRIVE,129,50,0.017,0.007,0.001,0.001,-0.01,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.316,0.005,-0.322,NO
M. Muscala,203488,203488_OKC22_BOS22,0,F/C,Forward-Center,OKC,2022-23,BOS,2022-23,OKC 2022-23 → BOS 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,195,87,0.025,0.011,0.015,0.001,0.004,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.454,-0.132,-0.322,NO
D. Smith Jr.,1628372,1628372_CHA22_BKN23,0,G,G,CHA,2022-23,BKN,2023-24,CHA 2022-23 → BKN 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,507,345,0.065,0.046,0.004,0.002,-0.012,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.116,0.21,-0.326,NO
J. Butler III,202710,202710_MIA24_GSW24,0,F,Forward,MIA,2024-25,GSW,2024-25,MIA 2024-25 → GSW 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,317,403,0.043,0.055,0.01,0.004,-0.003,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.483,-0.156,-0.327,NO
S. Dinwiddie,203915,203915_BKN23_LAL23,0,G,Guard,BKN,2023-24,LAL,2023-24,BKN 2023-24 → LAL 2023-24,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,514,143,0.068,0.018,0.002,0.001,-0.015,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.372,-0.04,-0.332,NO
L. Shamet,1629013,1629013_WAS23_NYK24,0,G,G,WAS,2023-24,NYK,2024-25,WAS 2023-24 → NYK 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,297,224,0.037,0.031,0.05,0.003,0.037,-0.009,Standard role occupant,Peripheral / replaceable wiring,-0.28,0.068,-0.348,NO
X. Tillman,1630214,1630214_MEM23_BOS23,0,F,Forward,MEM,2023-24,BOS,2023-24,MEM 2023-24 → BOS 2023-24,Driving creator,Spot-up / off-ball,DRIVE,SPOT_UP,219,64,0.029,0.008,0.007,0.003,-0.005,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.599,-0.248,-0.351,NO
L. Walker IV,1629022,1629022_BKN23_PHI24,0,F/Wing,G-F,BKN,2023-24,PHI,2024-25,BKN 2023-24 → PHI 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,494,191,0.065,0.026,0.002,0.006,-0.015,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.328,0.024,-0.353,NO
T. Prince,1627752,1627752_MIN22_LAL23,0,F/Wing,F,MIN,2022-23,LAL,2023-24,MIN 2022-23 → LAL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,427,619,0.055,0.079,0.008,0.005,-0.006,-0.014,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.098,0.464,-0.365,NO
D. Hunter,1629631,1629631_ATL24_CLE24,0,F,Forward-Guard,ATL,2024-25,CLE,2024-25,ATL 2024-25 → CLE 2024-25,PnR ball-handler / hub,Spot-up / off-ball,PNR,SPOT_UP,534,276,0.07,0.037,0.002,0.005,-0.015,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.171,0.2,-0.371,NO
M. Morris Sr.,202694,202694_LAC22_PHI23,0,F/Wing,F,LAC,2022-23,PHI,2023-24,LAC 2022-23 → PHI 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,668,208,0.089,0.028,0.004,0.002,-0.018,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.259,0.114,-0.373,NO
J. Landale,1629111,1629111_PHX22_HOU23,0,C,C,PHX,2022-23,HOU,2023-24,PHX 2022-23 → HOU 2023-24,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,344,188,0.045,0.024,0.021,0.003,0.008,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.469,-0.071,-0.397,NO
S. Milton,1629003,1629003_BKN24_LAL24,0,F,Forward,BKN,2024-25,LAL,2024-25,BKN 2024-25 → LAL 2024-25,Driving creator,PnR ball-handler / hub,DRIVE,PNR,162,95,0.023,0.013,0.001,0.001,-0.01,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.489,-0.075,-0.414,NO
D. Šarić,203967,203967_GSW23_DEN24,0,F/C,F-C,GSW,2023-24,DEN,2024-25,GSW 2023-24 → DEN 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,405,54,0.053,0.007,0.003,0.003,-0.012,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.185,0.234,-0.418,NO
P. Reed,1630194,1630194_PHI23_DET24,0,F/Wing,F,PHI,2023-24,DET,2024-25,PHI 2023-24 → DET 2024-25,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,410,128,0.055,0.017,0.003,0.004,-0.011,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.329,0.109,-0.438,NO
K. Irving,202681,202681_BKN22_DAL22,0,G,Guard,BKN,2022-23,DAL,2022-23,BKN 2022-23 → DAL 2022-23,Pull-up scorer,Driving creator,PULL_UP,DRIVE,870,415,0.117,0.056,0.009,0.023,-0.022,0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.429,0.015,-0.444,NO
B. Bogdanović,202711,202711_DET23_NYK23,0,G,Guard,DET,2023-24,NYK,2023-24,DET 2023-24 → NYK 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,468,274,0.062,0.038,0.006,0.001,-0.01,-0.012,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.591,-0.13,-0.461,NO
E. Omoruyi,1630647,1630647_DET22_WAS23,0,F/Wing,F,DET,2022-23,WAS,2023-24,DET 2022-23 → WAS 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,144,154,0.019,0.019,0.007,0.011,-0.005,-0.0,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.393,0.071,-0.464,NO
K. Olynyk,203482,203482_TOR24_NOP24,0,F/C,Forward-Center,TOR,2024-25,NOP,2024-25,TOR 2024-25 → NOP 2024-25,PnR ball-handler / hub,Post hub,PNR,POST_UP,125,148,0.017,0.02,0.001,0.007,-0.01,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.174,0.292,-0.466,NO
M. Morris,202693,202693_BKN22_DAL23,0,F,Forward,BKN,2022-23,DAL,2023-24,BKN 2022-23 → DAL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,78,66,0.01,0.009,0.003,0.008,-0.008,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.134,0.359,-0.493,NO
S. Mykhailiuk,1629004,1629004_CHA22_BOS23,0,F/Wing,G-F,CHA,2022-23,BOS,2023-24,CHA 2022-23 → BOS 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,164,134,0.021,0.018,0.003,0.002,-0.008,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.719,-0.217,-0.502,NO
T. Harris,202699,202699_PHI23_DET24,0,F/Wing,F,PHI,2023-24,DET,2024-25,PHI 2023-24 → DET 2024-25,PnR ball-handler / hub,Spot-up / off-ball,PNR,SPOT_UP,968,752,0.129,0.102,0.011,0.023,-0.025,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.329,0.195,-0.523,NO
S. Bey,1630180,1630180_DET22_ATL22,0,F,Guard-Forward,DET,2022-23,ATL,2022-23,DET 2022-23 → ATL 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,658,212,0.086,0.027,0.007,0.002,-0.015,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.658,-0.125,-0.534,NO
T. Jones,1626145,1626145_MEM22_WAS23,0,G,G,MEM,2022-23,WAS,2023-24,MEM 2022-23 → WAS 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,775,681,0.099,0.086,0.008,0.117,-0.017,0.096,Peripheral / replaceable wiring,Standard role occupant,-0.554,-0.009,-0.545,NO
P. Washington,1629023,1629023_CHA23_DAL23,0,F,Forward,CHA,2023-24,DAL,2023-24,CHA 2023-24 → DAL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,534,302,0.072,0.04,0.004,0.005,-0.013,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.294,0.259,-0.553,NO
J. Okogie,1629006,1629006_PHX24_CHA24,0,G,Guard,PHX,2024-25,CHA,2024-25,PHX 2024-25 → CHA 2024-25,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,109,117,0.015,0.016,0.004,0.008,-0.007,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.096,0.529,-0.625,NO
C. Joseph,202709,202709_DET22_GSW23,0,G,G,DET,2022-23,GSW,2023-24,DET 2022-23 → GSW 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,347,59,0.045,0.008,0.002,0.004,-0.011,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.839,-0.138,-0.702,NO
D. Wright,1626153,1626153_WAS23_MIA23,0,G,Guard,WAS,2023-24,MIA,2023-24,WAS 2023-24 → MIA 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,124,66,0.016,0.009,0.03,0.002,0.019,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.66,0.053,-0.714,NO
K. Durant,201142,201142_BKN22_PHX22,0,F,Forward,BKN,2022-23,PHX,2022-23,BKN 2022-23 → PHX 2022-23,Post hub,Post hub,POST_UP,POST_UP,856,146,0.115,0.019,0.019,0.011,-0.011,-0.0,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.517,0.245,-0.762,NO
L. Shamet,1629013,1629013_PHX22_WAS23,0,G,G,PHX,2022-23,WAS,2023-24,PHX 2022-23 → WAS 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,321,297,0.042,0.037,0.009,0.05,-0.004,0.037,Peripheral / replaceable wiring,Standard role occupant,-0.189,0.582,-0.771,NO
M. Bamba,1628964,1628964_PHI23_LAC24,0,C,C,PHI,2023-24,LAC,2024-25,PHI 2023-24 → LAC 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,163,83,0.022,0.012,0.005,0.002,-0.006,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.688,0.093,-0.781,NO
R. Westbrook,201566,201566_LAL22_LAC22,0,G,Guard,LAL,2022-23,LAC,2022-23,LAL 2022-23 → LAC 2022-23,Driving creator,Driving creator,DRIVE,DRIVE,770,266,0.098,0.035,0.003,0.002,-0.021,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.457,0.594,-1.052,NO
J. Toscano-Anderson,1629308,1629308_LAL22_UTA22,0,F,Forward,LAL,2022-23,UTA,2022-23,LAL 2022-23 → UTA 2022-23,Driving creator,Driving creator,DRIVE,DRIVE,75,81,0.01,0.01,0.001,0.002,-0.011,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.87,0.354,-1.224,NO
