player,player_id,mover_id,gap_seasons,position,position_detail,origin_team,origin_season,dest_team,dest_season,move,origin_role,dest_role,origin_top_play,dest_top_play,origin_init,dest_init,origin_usage,dest_usage,origin_influence,dest_influence,origin_influence_resid,dest_influence_resid,origin_archetype,dest_archetype,self_sim,decoy_sim,delta,portable
L. Dončić,1629029,1629029_DAL24_LAL24,0,F,Forward-Guard,DAL,2024-25,LAL,2024-25,DAL 2024-25 → LAL 2024-25,Pull-up scorer,Post hub,PULL_UP,POST_UP,469,509,0.065,0.071,0.023,0.01,0.007,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.486,0.143,0.343,YES
R. Westbrook,201566,201566_LAC23_DEN24,0,G,G,LAC,2023-24,DEN,2024-25,LAC 2023-24 → DEN 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,677,824,0.094,0.109,0.005,0.017,-0.018,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.381,0.041,0.34,YES
Z. Williams,1630533,1630533_MEM23_BKN24,0,F/Wing,F,MEM,2023-24,BKN,2024-25,MEM 2023-24 → BKN 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,364,468,0.048,0.066,0.003,0.014,-0.01,-0.002,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.219,-0.117,0.336,YES
D. Daniels,1630700,1630700_NOP23_ATL24,0,G,G,NOP,2023-24,ATL,2024-25,NOP 2023-24 → ATL 2024-25,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,336,943,0.044,0.123,0.002,0.007,-0.011,-0.027,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.112,-0.213,0.325,YES
J. Smith,1630188,1630188_IND23_CHI24,0,F/C,F-C,IND,2023-24,CHI,2024-25,IND 2023-24 → CHI 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,353,389,0.045,0.051,0.011,0.015,-0.002,0.001,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.384,0.068,0.317,YES
A. Caruso,1627936,1627936_CHI23_OKC24,0,G,G,CHI,2023-24,OKC,2024-25,CHI 2023-24 → OKC 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,552,289,0.075,0.039,0.015,0.003,-0.003,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.411,0.098,0.314,YES
N. Richards,1630208,1630208_CHA24_PHX24,0,C,Center,CHA,2024-25,PHX,2024-25,CHA 2024-25 → PHX 2024-25,Cutter / connector,Cutter / connector,CUT,CUT,125,218,0.017,0.031,0.001,0.013,-0.01,0.001,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.042,-0.268,0.31,YES
K. Anderson,203937,203937_MIN23_GSW24,0,F/Wing,F-G,MIN,2023-24,GSW,2024-25,MIN 2023-24 → GSW 2024-25,Driving creator,Driving creator,DRIVE,DRIVE,508,161,0.068,0.022,0.011,0.006,-0.006,-0.005,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.089,-0.398,0.309,YES
T. Mann,1630544,1630544_OKC22_CHA23,0,G,G,OKC,2022-23,CHA,2023-24,OKC 2022-23 → CHA 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,502,290,0.064,0.039,0.016,0.001,-0.0,-0.011,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.331,0.023,0.308,YES
T. Craig,1628470,1628470_PHX22_CHI23,0,F/Wing,F,PHX,2022-23,CHI,2023-24,PHX 2022-23 → CHI 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,420,246,0.055,0.033,0.022,0.008,0.008,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.46,0.153,0.307,YES
J. Hart,1628404,1628404_POR22_NYK22,0,G,Guard,POR,2022-23,NYK,2022-23,POR 2022-23 → NYK 2022-23,Transition initiator,Transition initiator,TRANSITION,TRANSITION,431,189,0.057,0.025,0.015,0.006,0.001,-0.005,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.325,0.022,0.303,YES
K. Huerter,1628989,1628989_SAC24_CHI24,0,F,Guard-Forward,SAC,2024-25,CHI,2024-25,SAC 2024-25 → CHI 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,292,281,0.04,0.037,0.004,0.003,-0.009,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.114,-0.189,0.302,YES
T. Bryant,1628418,1628418_MIA23_IND24,0,F/C,C-F,MIA,2023-24,IND,2024-25,MIA 2023-24 → IND 2024-25,PnR ball-handler / hub,Spot-up / off-ball,PNR,SPOT_UP,144,242,0.019,0.033,0.004,0.015,-0.007,0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.347,0.046,0.301,YES
C. Martin,1628998,1628998_CHA24_PHX24,0,F,Forward,CHA,2024-25,PHX,2024-25,CHA 2024-25 → PHX 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,276,60,0.039,0.008,0.001,0.008,-0.011,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.828,0.536,0.292,YES
M. Plumlee,203486,203486_CHA22_LAC22,0,G,Guard,CHA,2022-23,LAC,2022-23,CHA 2022-23 → LAC 2022-23,PnR ball-handler / hub,Cutter / connector,PNR,CUT,442,98,0.057,0.013,0.012,0.005,-0.003,-0.006,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.562,0.274,0.288,YES
B. Boston,1630527,1630527_LAC23_NOP24,0,G,G,LAC,2023-24,NOP,2024-25,LAC 2023-24 → NOP 2024-25,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,159,383,0.022,0.052,0.004,0.006,-0.007,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,0.226,-0.056,0.282,YES
