mover_id,player_id,player,f1,f2,yy1,yy2,gap_seasons,dest_fr,self_sim,decoy_sim,delta
1630231_PHI24_UTA24,1630231,K. Martin,PHI,UTA,24,24,0,UTA,-0.600208582761653,-0.6331770026531274,0.032968419891474365
1630322_OKC23_GSW24,1630322,L. Waters III,OKC,GSW,23,24,0,GSW,0.031423422989511986,0.09893730026065614,-0.06751387727114416
1630346_MIN22_NOP23,1630346,M. Ryan,MIN,NOP,22,23,0,NOP,-0.1841209734514585,-0.13002710755173558,-0.054093865899722926
1630526_OKC22_NOP23,1630526,J. Robinson-Earl,OKC,NOP,22,23,0,NOP,0.7578252859324603,0.04673153873846005,0.7110937471940003
1630527_LAC23_NOP24,1630527,B. Boston,LAC,NOP,23,24,0,NOP,0.22556534991199095,-0.05596976795123428,0.2815351178632252
1630533_MEM23_BKN24,1630533,Z. Williams,MEM,BKN,23,24,0,BKN,0.2193190082426739,-0.1168891202930649,0.3362081285357388
1630534_UTA23_TOR23,1630534,O. Agbaji,UTA,TOR,23,23,0,TOR,-0.0007344496715882782,0.14341589945868766,-0.14415034913027594
1630537_IND22_SAC23,1630537,C. Duarte,IND,SAC,22,23,0,SAC,-0.4789219466887228,-0.27092060839405874,-0.20800133829466405
1630538_DEN22_LAC22,1630538,B. Hyland,DEN,LAC,22,22,0,LAC,0.1397170735549513,-0.025192885541152142,0.16490995909610345
1630544_OKC22_CHA23,1630544,T. Mann,OKC,CHA,22,23,0,CHA,0.33095887148186603,0.02294990069762867,0.3080089707842374
1630556_SAC23_DAL24,1630556,K. Edwards,SAC,DAL,23,24,0,DAL,0.11390677908874117,0.06195046102203526,0.051956318066705906
1630558_SAC23_TOR24,1630558,D. Mitchell,SAC,TOR,23,24,0,TOR,0.47055141353275953,-0.40257278255491913,0.8731241960876787
1630558_TOR24_MIA24,1630558,D. Mitchell,TOR,MIA,24,24,0,MIA,-0.0724599165957974,-0.10174795418340962,0.029288037587612226
1630570_POR22_BKN23,1630570,T. Watford,POR,BKN,22,23,0,BKN,0.27431902900655714,-0.4080251365692681,0.6823441655758252
1630572_MIL22_SAS22,1630572,S. Mamukelashvili,MIL,SAS,22,22,0,SAS,0.45446360331599506,-0.0784130156992512,0.5328766190152463
1630581_OKC23_CHI24,1630581,J. Giddey,OKC,CHI,23,24,0,CHI,0.16921871908717723,0.23142647395980562,-0.06220775487262839
1630625_TOR22_BOS23,1630625,D. Banton,TOR,BOS,22,23,0,BOS,-0.316302124468368,0.005201161054577514,-0.3215032855229455
1630625_BOS23_POR23,1630625,D. Banton,BOS,POR,23,23,0,POR,-0.2794064188172235,-0.30575684559396893,0.026350426776745428
1630639_DAL23_TOR24,1630639,A. Lawson,DAL,TOR,23,24,0,TOR,0.5890865716924444,0.2132068164075264,0.375879755284918
1630647_OKC22_DET22,1630647,E. Omoruyi,OKC,DET,22,22,0,DET,0.3122213372779584,0.06735369589006193,0.2448676413878965
1630647_DET22_WAS23,1630647,E. Omoruyi,DET,WAS,22,23,0,WAS,-0.3932195657307783,0.07087981753442155,-0.46409938326519984
1630692_WAS22_PHX23,1630692,J. Goodwin,WAS,PHX,22,23,0,PHX,0.10798070384641274,0.15298101140717954,-0.0450003075607668
1630692_PHX23_MEM23,1630692,J. Goodwin,PHX,MEM,23,23,0,MEM,0.2508773263231868,0.2460167356846293,0.00486059063855751
