key,tri,yy,player_id,player,u,Lcos,Lfrob,abbrev,season,full_name,gp,mpg,ppg,apg,usg_pct,ast_pct,net_rating,touches,front_ct_touches,position,u_resid
CHI_22,CHI,22,201976,P. Beverley,0.0176757683682891,0.0042887047601629,34.78556824376335,P. Beverley,2022-23,Patrick Beverley,67.0,27.1,6.2,2.9,0.107,0.137,-1.5,39.7,16.9,G,-0.006928513955584632
CHI_22,CHI,22,202696,N. Vučević,0.1561799234929428,0.0389345693947528,102.68396495738912,N. Vučević,2022-23,Nikola Vučević,82.0,33.5,17.6,3.2,0.218,0.146,-0.5,66.3,45.1,C,-0.009643960662017434
CHI_22,CHI,22,203083,A. Drummond,0.0309985490040891,0.0461753009675945,111.66716792101842,A. Drummond,2022-23,Andre Drummond,67.0,12.7,6.0,0.5,0.196,0.057,2.6,17.2,10.5,C,0.03437951410631715
CHI_22,CHI,22,203897,Z. LaVine,0.2024798839203271,0.0393606206821111,104.20120393562264,Z. LaVine,2022-23,Zach LaVine,77.0,35.9,24.8,4.2,0.278,0.187,0.3,61.9,32.4,G,-0.03717684882043269
CLE_22,CLE,22,1626224,C. Osman,0.073751840449739,0.0078833314640863,72.10681405783689,C. Osman,2022-23,Cedi Osman,77.0,20.1,8.7,1.5,0.178,0.107,7.5,28.2,19.3,F,-0.010103547775829112
CLE_22,CLE,22,1627747,C. LeVert,0.1088207736581448,0.0116952611164931,116.16636823428811,C. LeVert,2022-23,Caris LeVert,74.0,30.2,12.1,3.9,0.183,0.182,4.5,47.1,27.7,G,-0.016304094146629797
CLE_22,CLE,22,1628378,D. Mitchell,0.2063980725471824,0.0396276084426393,199.7602979492557,D. Mitchell,2022-23,Donovan Mitchell,68.0,35.8,28.3,4.4,0.31,0.205,5.9,67.7,31.8,G,-0.03963165903893153
CLE_22,CLE,22,1628386,J. Allen,0.0820505956364609,0.0247697705464631,125.78622936520256,J. Allen,2022-23,Jarrett Allen,68.0,32.6,14.3,1.7,0.162,0.073,7.7,42.6,25.2,C,0.004815179429897162
CLE_22,CLE,22,1629603,M. Diakite,0.0066925445054209,0.0044933691915156,45.61305535209623,M. Diakite,2022-23,Mamadi Diakite,22.0,8.0,2.6,0.4,0.164,0.07,0.7,11.5,6.5,F,-0.006729528548720119
CLE_22,CLE,22,1629636,D. Garland,0.1634319368223798,0.0304629470016345,146.72013039734625,D. Garland,2022-23,Darius Garland,69.0,35.5,21.6,7.8,0.262,0.328,8.0,76.7,29.3,G,-0.021982853735739386
CLE_22,CLE,22,1629731,D. Wade,0.0227546513184312,0.0089189568499307,83.86287308844969,D. Wade,2022-23,Dean Wade,44.0,20.3,4.7,0.8,0.1,0.056,6.5,22.5,12.9,F-C,-0.0024431239244749377
CLE_22,CLE,22,1630171,I. Okoro,0.052067996252175,0.0053927666394139,59.476520169566015,I. Okoro,2022-23,Isaac Okoro,76.0,21.7,6.4,1.1,0.117,0.07,5.4,19.8,12.8,F-G,-0.008628089019248681
CLE_22,CLE,22,1630205,L. Stevens,0.0402891179226341,0.0020444712808195,33.7458764928415,L. Stevens,2022-23,Lamar Stevens,62.0,18.1,5.3,0.5,0.136,0.04,1.2,20.7,10.5,F,-0.010534610788718741
CLE_22,CLE,22,1630596,E. Mobley,0.139204925712756,0.0146973822679787,88.49902799433171,E. Mobley,2022-23,Evan Mobley,79.0,34.4,16.2,2.8,0.199,0.122,6.5,59.9,31.2,C,-0.025572440984584156
CLE_22,CLE,22,201567,K. Love,0.0377459510105742,0.0040587195438083,74.08815933035157,K. Love,,,,,,,,,,,,Forward-Center,-0.00827492210526573
CLE_22,CLE,22,201577,R. Lopez,0.0111096238789987,0.0026218767894734,46.93319122650144,R. Lopez,2022-23,Robin Lopez,37.0,8.1,3.0,0.5,0.156,0.105,-8.7,9.0,6.1,C,-0.008546300733557628
CLE_22,CLE,22,201937,R. Rubio,0.0252978182304912,0.0099258777290088,71.10205718538343,R. Rubio,2022-23,Ricky Rubio,33.0,17.2,5.2,3.5,0.172,0.295,3.0,39.4,15.0,G,-0.0015437859013833002
CLE_22,CLE,22,203526,R. Neto,0.018203721054745,0.0058807287286871,61.94117908648849,R. Neto,2022-23,Raul Neto,48.0,10.5,3.3,1.6,0.133,0.226,1.4,20.8,8.3,G,-0.005347204559815345
DAL_22,DAL,22,1626174,C. Wood,0.1200755531570426,0.0117893146263629,203.227870236852,C. Wood,2022-23,Christian Wood,67.0,25.9,16.6,1.8,0.259,0.119,-1.3,46.0,26.0,F,-0.020365973681678202
DAL_22,DAL,22,1627827,D. Finney-Smith,0.0396654074473826,0.0104821853613862,94.73315472777068,D. Finney-Smith,,,,,,,,,,,,Forward,-0.002034538110829579
DAL_22,DAL,22,1628373,F. Ntilikina,0.0192930383162439,0.0035656022607639,49.44336237810899,F. Ntilikina,2022-23,Frank Ntilikina,47.0,12.9,2.9,1.2,0.125,0.127,5.1,17.8,8.1,G,-0.007687623355251909
DAL_22,DAL,22,1628467,M. Kleber,0.0228008634646519,0.0025208718851845,64.84331369669906,M. Kleber,2022-23,Maxi Kleber,37.0,25.1,5.9,1.4,0.1,0.079,-2.9,32.5,17.8,F,-0.008842955169590706
DAL_22,DAL,22,1629029,L. Dončić,0.2162709120345385,0.1014752708988042,277.1240974496869,L. Dončić,2022-23,Luka Dončić,66.0,36.2,32.4,8.0,0.368,0.408,2.1,89.6,34.1,F-G,0.015111599926187144
DAL_22,DAL,22,1629033,T. Pinson,0.0120075553157042,0.005563787725354,64.3111639386067,T. Pinson,2022-23,Theo Pinson,40.0,8.1,2.4,1.2,0.136,0.196,-7.6,16.2,7.3,G-F,-0.005601894400537183
DAL_22,DAL,22,1630182,J. Green,0.057609282245008,0.0047033910269745,60.20093100542285,J. Green,2022-23,Josh Green,60.0,25.7,9.1,1.7,0.14,0.096,2.5,34.2,17.2,G,-0.010169256124729104
DAL_22,DAL,22,1630593,M. Wright IV,0.0152455477603885,0.0039874383134096,63.6711422265947,M. Wright IV,2022-23,McKinley Wright IV,27.0,12.4,4.2,2.1,0.16,0.275,-14.9,24.8,9.6,G,-0.007193457498585474
DAL_22,DAL,22,1630702,J. Hardy,0.0477603885590933,0.0080840546717746,77.74291507144572,J. Hardy,2022-23,Jaden Hardy,48.0,14.8,8.8,1.4,0.248,0.147,-3.1,25.3,12.3,G,-0.005351349778305649
DAL_22,DAL,22,201580,J. McGee,0.0188882892606583,0.0041484448415796,55.14886578228726,J. McGee,2022-23,JaVale McGee,42.0,8.4,4.4,0.3,0.214,0.051,-7.3,11.7,6.3,C-F,-0.007094882159214591
DAL_22,DAL,22,202681,K. Irving,0.0559902860226659,0.0231730067122291,169.6304022565777,K. Irving,2022-23,Kyrie Irving,60.0,37.3,27.1,5.5,0.286,0.233,4.7,75.7,32.5,G,0.008560708075356378
DAL_22,DAL,22,202689,K. Walker,0.0091743119266055,0.0042586255085932,64.33145080302637,K. Walker,2022-23,Kemba Walker,9.0,16.0,8.0,2.1,0.215,0.216,-1.9,28.7,12.2,Guard,-0.0069248437148517515
DAL_22,DAL,22,202722,D. Bertans,0.020912034538586,0.0037240600378304,72.69855519673898,D. Bertans,2022-23,Davis Bertans,45.0,10.9,4.6,0.5,0.155,0.065,-4.3,13.3,8.0,F,-0.007574683672004194
DAL_22,DAL,22,203200,J. Holiday,0.0107933081489476,0.0043162102377637,90.88523752822636,J. Holiday,2022-23,Justin Holiday,46.0,15.4,4.5,0.9,0.132,0.08,-9.1,17.3,11.2,F-G,-0.0068535407501768494
DAL_22,DAL,22,203493,R. Bullock Jr.,0.0631408526713437,0.0046823967417739,72.0945482343163,R. Bullock Jr.,2022-23,Reggie Bullock Jr.,78.0,30.3,7.2,1.4,0.098,0.063,-1.8,34.1,20.3,G-F,-0.0111512859153904
DAL_22,DAL,22,203501,T. Hardaway Jr.,0.118861305990286,0.0099517448434983,88.21404721211547,T. Hardaway Jr.,2022-23,Tim Hardaway Jr.,71.0,30.3,14.4,1.8,0.201,0.088,3.4,44.8,23.8,G-F,-0.021733129328713435
DAL_22,DAL,22,203915,S. Dinwiddie,0.0971397733405288,0.0180036096306899,107.42532667915756,S. Dinwiddie,,,,,,,,,,,,Guard,-0.006166799630338303
DAL_22,DAL,22,203939,D. Powell,0.0423637344846195,0.1463174827841737,312.43454073059905,D. Powell,2022-23,Dwight Powell,76.0,19.2,6.7,0.9,0.123,0.067,6.2,25.1,14.3,F-C,0.1335208595768134
DEN_22,DEN,22,1627750,J. Murray,0.1431615394859502,0.0584723458885675,115.36386449908206,J. Murray,2022-23,Jamal Murray,65.0,32.8,20.0,6.2,0.256,0.265,6.4,71.4,33.9,G,0.016359014659203294
DEN_22,DEN,22,1628418,T. Bryant,0.008922626181915,0.0044697122839444,31.9598232247764,T. Bryant,2022-23,Thomas Bryant,59.0,18.3,9.8,0.5,0.181,0.042,-4.7,26.8,12.8,C-F,-0.0067167407738139475
DEN_22,DEN,22,1628427,V. Čančar,0.0310294313490478,0.0083025051976828,40.16258465542091,V. Čančar,2022-23,Vlatko Čančar,60.0,14.8,5.0,1.3,0.134,0.125,-3.9,20.3,13.1,F,-0.0034953683755670796
DEN_22,DEN,22,1628432,D. Reed,0.0119856172592888,0.0282054477692559,82.29849553708246,D. Reed,2022-23,Davon Reed,43.0,8.0,2.1,0.5,0.142,0.099,-14.1,14.6,7.1,Guard,0.01703973942083893
DEN_22,DEN,22,1628971,B. Brown,0.1045412172060194,0.0323917236054573,79.79085435629025,B. Brown,2022-23,Bruce Brown,80.0,28.5,11.5,3.4,0.174,0.164,0.8,51.6,24.7,G-F,0.005852442110469147
DEN_22,DEN,22,1629008,M. Porter Jr.,0.1090691170595285,0.037553311753665,86.12761378705389,M. Porter Jr.,2022-23,Michael Porter Jr.,62.0,29.0,17.4,1.0,0.22,0.048,10.4,36.7,23.3,F,0.009467195164104263
DEN_22,DEN,22,1630192,Z. Nnaji,0.0223731522173391,0.015344435763877,54.81664706871519,Z. Nnaji,2022-23,Zeke Nnaji,53.0,13.7,5.2,0.3,0.149,0.04,-5.9,13.6,9.4,F-C,0.003996476201979576
DEN_22,DEN,22,1630538,B. Hyland,0.0588626980956185,0.0287285549803413,77.40759337028462,B. Hyland,,,,,,,,,,,,Guard,0.013647838569857395
DEN_22,DEN,22,1631128,C. Braun,0.0398188840058596,0.0100967030805079,45.01280600983228,C. Braun,2022-23,Christian Braun,76.0,15.5,4.7,0.8,0.127,0.07,-4.3,18.3,10.6,G,-0.002435234504379531
DEN_22,DEN,22,1631212,P. Watson,0.0071913703555733,0.0066621711755103,65.10461327502907,P. Watson,2022-23,Peyton Watson,23.0,8.1,3.3,0.5,0.174,0.087,-12.0,10.3,4.9,G,-0.004551013261842238
DEN_22,DEN,22,201145,J. Green,0.0472766014116393,0.0062648517048035,36.603062984810265,J. Green,2022-23,Jeff Green,56.0,19.5,7.8,1.2,0.167,0.095,-8.0,25.7,17.1,F,-0.007108991613122411
DEN_22,DEN,22,201599,D. Jordan,0.0155813024370755,0.0134834521860741,51.00575371134041,D. Jordan,2022-23,DeAndre Jordan,39.0,15.0,5.1,0.9,0.134,0.084,-8.4,19.7,11.3,C,0.002298809469372047
